filename,cik,name,address,city,state,zip,ticker,exchange,subsidiaries
03/000095017023011133.htm,0001750149,"INHIBIKASE THERAPEUTICS, INC.",3350 Riverwood Parkway SE,Atlanta,GA,30339,IKT,The Nasdaq Stock Market LLC,
03/000143774923007024.htm,0001375195,THE CORETEC GROUP INC.,600 S. Wagner Rd,Ann Arbor,MI,48103,,,
03/000162828023006564.htm,0001726445,"SEER, INC.",3800 Bridge Parkway,Redwood City,California,94065,SEER,NASDAQ Global Select Market,
03/000095017023007989.htm,0001678660,PRELUDE THERAPEUTICS INC,200 Powder Mill Road,Wilmington,Delaware,19803,PRLD,The Nasdaq Stock Market LLC,
03/000119312523058346.htm,0001705843,"Calyxt, Inc.",2800 Mount Ridge Road,Roseville,MN,55113-1127,CLXT,The NASDAQ Stock Market LLC,
03/000089742923000044.htm,0000897429,"Chico’s FAS, Inc.","11215 Metro Parkway,","Fort Myers,",Florida,33966,CHS,New York Stock Exchange,
03/000091063823000009.htm,0000910638,3D SYSTEMS CORPORATION,333 Three D Systems Circle,Rock Hill,South Carolina,29730,DDD,New York Stock Exchange,
03/000075068623000033.htm,0000750686,CAMDEN NATIONAL CORP,2 Elm Street,Camden,ME,04843,CAC,The NASDAQ Stock Market LLC,a123122exhibit211.htm
03/000160530123000008.htm,0001605301,"CB FINANCIAL SERVICES, INC.",100 North Market Street,Carmichaels,Pennsylvania,15320,CBFV,"The Nasdaq Stock Market, LLC",
03/000149523123000040.htm,0001495231,"IZEA WORLDWIDE, INC.",1317 Edgewater Dr.,Orlando,FL,32804,IZEA,Nasdaq,
03/000188852423002959.htm,0001716187,,,,,,,,
03/000188852423003223.htm,0001780859,,,,,,,,
03/000188852423003348.htm,0001566543,,,,,,,,
03/000121390023024330.htm,0001314196,"THE OLB GROUP, INC.",1120 Avenue of the Americas,New York,NY,10036,,,
03/000182810523000011.htm,0001828105,HIPPO HOLDINGS INC.,150 Forest Avenue,Palo Alto,California,94301,HIPO,New York Stock Exchange,
